String ID,enu,Comment
system-messages.system.portcheck.err.unknown_or_wrong_host,The hostname chosen for {0} is unknown or misspelled: {1}., 
system-messages.system.portcheck.err.networking_error,In subsystem {0} a networking error was encountered: {1}., 
system-messages.system.portcheck.err.ports_with_networking_errors,The following ports chosen for {0} have networking errors: {1}., 
system-messages.system.license.msg.unknown,Unknown, 
system-messages.system.license.msg.unlimited,Unlimited, 
system-messages.system.license.msg.does_not_expire,Does not expire, 
system-messages.system.license.msg.reloaded,The Alfresco Content Services license has been reloaded., 
system-messages.system.license.err.reloadFailed,Failed to reload license: {0}, 
system-messages.system.info.startup,Alfresco Content Services started ({0}{1}{2}). Current version: {3} schema {4}. Originally installed version: {5} schema {6}., 
system-messages.system.warn.readonly,Alfresco Content Services is currently in read-only mode. Check your license., 
system-messages.system.info.limited_trial,Note: this is a limited trial of the Enterprise version of Alfresco Content Services that goes into read-only mode after 2 days. Request an extended 30-day trial at: https://www.alfresco.com/platform/content-services-ecm/trial/docker, 
subscription-service.subscription.notification.email.subject,{0} is now following you, 
subscription-service.subscription_service.err.disabled,The subscription is disabled, 
subscription-service.subscription_service.err.write-denied,No permissions to update, 
subscription-service.subscription_service.err.private-list,This list is marked as private, 
smartfolder-model.smf_smartFolder.description,Smart Folders Model, 
smartfolder-model.smf_smartFolder.type.smf_smartFolderTemplate.title,Smart Folder Template, 
smartfolder-model.smf_smartFolder.type.smf_smartFolderTemplate.description,Smart Folder Template, 
smartfolder-model.smf_smartFolder.aspect.smf_smartFolder.title,Smart Folder, 
smartfolder-model.smf_smartFolder.aspect.smf_smartFolder.description,A Smart Folder container node, 
smartfolder-model.smf_smartFolder.aspect.smf_smartFolderChild.title,Smart Folder Child, 
smartfolder-model.smf_smartFolder.aspect.smf_smartFolderChild.description,A node entry in a Smart Folder container node, 
smartfolder-model.smf_smartFolder.aspect.smf_virtualization.title,Container Smart Folder, 
smartfolder-model.smf_smartFolder.aspect.smf_virtualization.description,A container Smart Folder, 
smartfolder-model.smf_smartFolder.aspect.smf_customConfigSmartFolder.title,Custom Smart Folder, 
smartfolder-model.smf_smartFolder.aspect.smf_customConfigSmartFolder.description,A custom Smart Folder, 
smartfolder-model.smf_smartFolder.property.smf_custom-template-association.title,Smart Folder Template, 
smartfolder-model.smf_smartFolder.property.smf_custom-template-association.description,A custom Smart Folder Template association, 
smartfolder-model.smf_smartFolder.aspect.smf_systemConfigSmartFolder.title,System Smart Folder, 
smartfolder-model.smf_smartFolder.aspect.smf_systemConfigSmartFolder.description,A system Smart Folder, 
smartfolder-model.smf_smartFolder.property.smf_system-template-location.title,Smart Folder Template, 
smartfolder-model.smf_smartFolder.property.smf_system-template-location.description,A system Smart Folder Template location, 
smartfolder-model.smf_smartFolder.type.smf_download.title,Transient Smart Folder Download Aspect, 
smartfolder-model.smf_smartFolder.type.smf_download.description,Transient Smart Folder download container, 
smartfolder-model.smf_smartFolder.nullSystemTemplate.message,No system template was found, 
slingshot.role.SiteManager,Manager, 
slingshot.role.SiteCollaborator,Collaborator, 
slingshot.role.SiteContributor,Contributor, 
slingshot.role.SiteConsumer,Consumer, 
slingshot.hybridsync.ssd-id-header-label,Sync ID, 
slingshot.hybridsync.ssd-failed-reason-header-label,Sync Failure Type, 
slingshot.hybridsync.path-desc-header-label,Original Item Location, 
slingshot.hybridsync.sync-creator-header-label,Sync Creator, 
slingshot.hybridsync.cloud-user-header-label,Cloud User, 
slingshot.hybridsync.remote-tenant-id-header-label,Cloud Network, 
slingshot.hybridsync.target-folder-node-ref-header-label,Cloud Destination, 
slingshot.hybridsync.actions-header-label,Actions, 
slingshot.sync.folder.name_clash,Content with this name already exists in the target folder. You need to change the name to sync it., 
slingshot.sync.folder.not_found,Sync folder not found. Try again or check with your IT Team., 
slingshot.sync.node.already_synced,Sync unsuccessful. Content already synced from another location., 
slingshot.sync.node.other_sync_set,Sync unsuccessful. Content already synced from another location., 
