String ID,enu,Comment
capability-service.capability.ViewUpdateReasonsForFreeze.title,View Update Reasons for Freeze, 
capability-service.capability.CreateHold.title,Create Hold, 
capability-service.capability.AddToHold.title,Add to Hold, 
capability-service.capability.RemoveFromHold.title,Remove from Hold, 
capability-service.capability.FileHoldReport.title,File Hold Report, 
capability-service.capability.DeleteHold.title,Delete Hold, 
capability-service.capability.EditHold.title,Edit Hold, 
capability-service.capability.group.audit.title,Audit, 
capability-service.capability.DeclareAuditAsRecord.title,Declare Audit as Record, 
capability-service.capability.EnableDisableAuditByTypes.title,Enable Disable Audit by Types, 
capability-service.capability.DeleteAudit.title,Delete Audit, 
capability-service.capability.SelectAuditMetadata.title,Select Audit Metadata, 
capability-service.capability.AccessAudit.title,Access Audit, 
capability-service.capability.ExportAudit.title,Export Audit, 
capability-service.capability.group.security.title,Security, 
capability-service.capability.CreateModifyDestroyRoles.title,Create Modify Destroy Roles, 
capability-service.capability.CreateModifyDestroyUsersAndGroups.title,Create Modify Destroy Users and Groups, 
capability-service.capability.PasswordControl.title,Password Control, 
capability-service.capability.DisplayRightsReport.title,Display Rights Report, 
capability-service.capability.ManageAccessControls.title,Group and User Role Assignment, 
capability-service.capability.ManageAccessRights.title,Manage Permissions, 
capability-service.capability.group.config.title,Configuration, 
capability-service.capability.CreateModifyDestroyFileplanMetadata.title,Create Modify Destroy File Plan Metadata, 
capability-service.capability.CreateModifyDestroyFileplanTypes.title,Create Modify Destroy File Plan Types, 
capability-service.capability.CreateModifyDestroyRecordTypes.title,Create Modify Destroy Record Types, 
capability-service.capability.CreateAndAssociateSelectionLists.title,Create and Associate Selection Lists, 
capability-service.capability.EditSelectionLists.title,Edit Selection Lists, 
capability-service.capability.CreateModifyDestroyReferenceTypes.title,Create Modify Destroy Reference Types, 
capability-service.capability.AttachRulesToMetadataProperties.title,Attach Rules to Metadata Properties, 
capability-service.capability.MakeOptionalParametersMandatory.title,Make Optional Parameters Mandatory, 
capability-service.capability.MapEmailMetadata.title,Map Email Metadata, 
capability-service.capability.group.rules.title,Rules, 
capability-service.capability.ManageRules.title,Manage Rules, 
